店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
みなとみらい de 焼肉DOURAKU （どうらく）,050-5484-1798,,神奈川県,横浜市西区みなとみらい,4-6-2,グランドセントラルテラス2F,http://takikou.com/,False
地鶏焼き鳥＆肉寿司 個室居酒屋 食彩の房 川崎本店,050-5493-5479,,神奈川県,川崎市川崎区砂子,2-4-18,5F,,False
ポムの樹 幸せのオムライス＆フレンチトーストヨドバシ横浜店,050-5494-2378,,神奈川県,横浜市西区北幸,1-2-7,ヨドバシ横浜B2,,False
洋食葉椰子,050-5493-1753,,神奈川県,小田原市栄町,2-7-30,内田ビル1F,,False
キッチン大宮 マークイズみなとみらい店,050-5484-8622,,神奈川県,横浜市西区みなとみらい,3-5-1,MARK IS みなとみらい4F,http://www.rincrew.co.jp/,False
じとっこ組合 小田原店,050-5484-2325,,神奈川県,小田原市栄町,2-8-8,土方ビル2F,https://dhn.co.jp/,True
デリッシュ・ウフ ラゾーナ川崎店,050-5494-3566,,神奈川県,川崎市幸区堀川町,72-1,ラゾーナ川崎プラザ4F,,False
ラケル テラスモール湘南店,050-5494-2319,,神奈川県,藤沢市辻堂神台,1-3-1,テラスモール湘南4F,,False
ラケル 海老名ビナウォーク店,050-5494-2316,,神奈川県,海老名市中央,1-4-1,ビナウォーク5番館1F,,False
ラケル シァル鶴見店,050-5494-2318,,神奈川県,横浜市鶴見区鶴見中央,1-1-2,シァル鶴見6F,,False
ラケル 上大岡店,050-5494-2334,,神奈川県,横浜市港南区上大岡西,1-6-1,京急ショッピングプラザ ウィング上大岡,,False
ラケル マルイファミリー溝口店,050-5494-2333,,神奈川県,川崎市高津区溝口,1-4-1,マルイファミリー溝口10F,,False
キッチンパレット ジョイナス店,050-5494-2403,,神奈川県,横浜市西区南幸,1-5-1,ジョイナスB2,,False
ポムの樹 イオン新百合ヶ丘店,050-5494-2374,,神奈川県,川崎市麻生区上麻生,1-19,イオン新百合ヶ丘5F,,False
ポムの樹 ビナウォーク海老名店,050-5494-2372,,神奈川県,海老名市中央,1-6-1,ビナウォーク海老名3番館6F,,False
KITCHEN JO’S CIAL桜木町店,050-5494-2121,,神奈川県,横浜市中区桜木町,1-1,CIAL1F,,False
神田グリル 本厚木ミロード店,050-5494-3622,,神奈川県,厚木市泉町,1-1,小田急本厚木ミロード1 6F,,False
Kitchen Bitte,050-5489-3094,,神奈川県,逗子市沼間,1-1-23,ショコラM 1F,,False
米国風洋食 横浜野毛 センターグリル,050-5485-2501,,神奈川県,横浜市中区花咲町,1-9,,https://center-grill.com/,True
ラ・プラタ,050-5493-8671,,神奈川県,鎌倉市小町,2-9-22,2F,,False
A5和牛とチーズのお店 Spica,050-5486-9321,,神奈川県,藤沢市鵠沼花沢町,1-5,フラワービル2F,,False
JH Cafe,045-664-0777,,神奈川県,横浜市中区元町,3-145,TK-1ビルB1,http://www.cocktail.st/,False
一軒家貸切パーティー roku cafe 横浜,050-5485-5455,,神奈川県,横浜市西区北幸,2-11-23,,http://rokucafe.jp/,False
kawara CAFE＆DINING 横須賀モアーズ店,050-5485-4838,,神奈川県,横須賀市若松町,2-30,横須賀モアーズシティ8F,http://www.sld-inc.com/,False
kawara CAFE＆DINING 川崎モアーズ店,050-5488-0725,,神奈川県,川崎市川崎区駅前本町,7-7,川崎モアーズ7F,http://www.sld-inc.com/kawara_kawasaki.html,False
美女と野獣のカフェ＆レストランBeauty＆the Beast,050-5486-1660,,,,,カーサ丸徳B1,,False
グリル蔵敷ジョイナステラス二俣川,050-5492-8813,,神奈川県,横浜市旭区二俣川,2-50-14,ジョイナステラス二俣川4F,,False
ＫＵＢＯＴＡ食堂,050-5488-6998,,神奈川県,横浜市神奈川区東神奈川,1-10-1,ザ・ステーションタワー東神奈川店舗3,,False
四六時中 茅ヶ崎中央店,050-5489-2177,,神奈川県,茅ヶ崎市茅ヶ崎,3-5-16,イオン茅ヶ崎中央店2F,,False
Bricks Studio,050-5493-8398,,神奈川県,横浜市中区太田町,5-65,横浜平和プラザホテル2F,,False
横浜イタリアンダイニング Lu’s CAFE（ルーズカフェ）,050-5485-0593,,神奈川県,横浜市西区楠町,18-6,横浜西口オーケービル1F,,False
YEBISU BAR本厚木ミロード店,050-5494-2187,,神奈川県,厚木市泉町,1-1,小田急本厚木ミロード1,,False
